A sparse matrix
cols: 150, rows: 150
nonzeros: 1488
(72, 42, -2.06661)
(72, 72, 12.1829)
(72, 75, -1.94105)
(72, 81, -1.67758)
(72, 99, -0.8932)
(72, 126, -1.44117)
(72, 129, -0.577906)
(72, 138, 0.793093)
(72, 141, -0.105961)
(73, 7, -1.46014)
(73, 19, -2.81237)
(73, 43, -2.06661)
(73, 73, 12.1829)
(73, 76, -1.94105)
(73, 82, -1.67758)
(73, 100, -0.8932)
(73, 127, -1.44117)
(73, 130, -0.577906)
(73, 139, 0.793093)
(73, 142, -0.105961)
(74, 8, -1.46014)
(74, 20, -2.81237)
(74, 44, -2.06661)
(74, 74, 12.1829)
(74, 77, -1.94105)
(74, 83, -1.67758)
(74, 101, -0.8932)
(74, 128, -1.44117)
(74, 131, -0.577906)
(74, 140, 0.793093)
(74, 143, -0.105961)
(75, 3, -0.707521)
(75, 18, -0.505528)
(75, 42, -0.135482)
(75, 66, -1.03147)
(75, 72, -1.94105)
(75, 75, 8.4734)
(75, 96, -0.290142)
(75, 138, -1.91819)
(75, 141, -1.94402)
(76, 4, -0.707521)
(76, 19, -0.505528)
(76, 43, -0.135482)
(76, 67, -1.03147)
(76, 73, -1.94105)
(76, 76, 8.4734)
(76, 97, -0.290142)
(76, 139, -1.91819)
(76, 142, -1.94402)
(77, 5, -0.707521)
(77, 20, -0.505528)
(77, 44, -0.135482)
(77, 68, -1.03147)
(77, 74, -1.94105)
(77, 77, 8.4734)
(77, 98, -0.290142)
(77, 140, -1.91819)
(77, 143, -1.94402)
(78, 9, -0.850967)
(78, 21, -1.26343)
(78, 54, -0.743963)
(78, 78, 9.72677)
(78, 81, -1.44157)
(78, 87, -2.69173)
(78, 102, -0.40939)
(78, 126, -1.17634)
(78, 129, -1.14938)
(79, 10, -0.850967)
(79, 22, -1.26343)
(79, 55, -0.743963)
(79, 79, 9.72677)
(79, 82, -1.44157)
(79, 88, -2.69173)
(79, 103, -0.40939)
(79, 127, -1.17634)
(79, 130, -1.14938)
(80, 11, -0.850967)
(80, 23, -1.26343)
(80, 56, -0.743963)
(80, 80, 9.72677)
(80, 83, -1.44157)
(80, 89, -2.69173)
(80, 104, -0.40939)
(80, 128, -1.17634)
(80, 131, -1.14938)
(81, 6, -0.762613)
(81, 21, -0.823814)
(81, 54, -0.419256)
(81, 72, -1.67758)
(81, 78, -1.44157)
(81, 81, 8.69043)
(81, 99, -0.371366)
(81, 126, -1.60126)
(81, 129, -1.59297)
(82, 7, -0.762613)
(82, 22, -0.823814)
(82, 55, -0.419256)
(82, 73, -1.67758)
(82, 79, -1.44157)
(82, 82, 8.69043)
(82, 100, -0.371366)
(82, 127, -1.60126)
(82, 130, -1.59297)
(83, 8, -0.762613)
(83, 23, -0.823814)
(83, 56, -0.419256)
(83, 74, -1.67758)
(83, 80, -1.44157)
(83, 83, 8.69043)
(83, 101, -0.371366)
(83, 128, -1.60126)
(83, 131, -1.59297)
(84, 12, -0.762342)
(84, 24, -0.823334)
(84, 60, -0.418917)
(84, 84, 8.68948)
(84, 87, -1.44138)
(84, 93, -1.67696)
(84, 105, -0.371086)
(84, 132, -1.60156)
(84, 135, -1.59391)
(85, 13, -0.762342)
(85, 25, -0.823334)
(85, 61, -0.418917)
(85, 85, 8.68948)
(85, 88, -1.44138)
(85, 94, -1.67696)
(85, 106, -0.371086)
(85, 133, -1.60156)
(85, 136, -1.59391)
(86, 14, -0.762342)
(86, 26, -0.823334)
(86, 62, -0.418917)
(86, 86, 8.68948)
(86, 89, -1.44138)
(86, 95, -1.67696)
(86, 107, -0.371086)
(86, 134, -1.60156)
(86, 137, -1.59391)
(87, 9, -3.06082)
(87, 24, -1.26326)
(87, 60, -0.743951)
(87, 78, -2.69173)
(87, 84, -1.44138)
(87, 87, 13.403)
(87, 102, -2.35711)
(87, 126, 0.475112)
(87, 129, 1.4692)
(87, 132, -1.46398)
(87, 135, -2.32512)
(88, 10, -3.06082)
(88, 25, -1.26326)
(88, 61, -0.743951)
(88, 79, -2.69173)
(88, 85, -1.44138)
(88, 88, 13.403)
(88, 103, -2.35711)
